                FLUXO DE CAIXA                           Saldo          02/09          03/09          04/09          05/09          06/09          09/09          10/09          11/09          12/09          13/09          16/09          17/09          18/09          19/09          20/09          23/09          24/09          25/09          26/09           Total
Remuneração Subsist. Local - Vencimento                      0      5.393.927      5.427.548      5.532.429      5.517.067     11.750.533      5.323.162      5.496.099      5.649.948      5.643.723     11.359.332      5.371.386      5.868.768      5.717.676      5.723.821     12.081.561      5.438.128      5.465.945      5.583.445      5.440.173    123.784.670
                                       Pagamento             0      5.393.927      5.427.548      5.532.429      5.517.067     11.750.533      5.323.162      5.496.099      5.649.948      5.643.723     11.359.332      5.371.386      5.868.768      5.717.676      5.723.821     10.373.155      4.832.543      4.117.753      7.961.259      6.724.542    123.784.670
                                Dívida Acumulada             0              0              0              0              0              0              0              0              0              0              0              0              0              0              0      -1.708.406     -2.313.991     -3.662.183     -1.284.369             0              0
Frota Pública - Vencimento                                   0         18.261          5.646          5.646          5.646         15.944          5.203          5.203          5.203          5.203         14.540          4.847          4.847          4.847          4.847         14.540          4.847          4.847          4.847          4.847        139.810
                                       Pagamento             0         18.261          5.646          5.646          5.646         15.944          5.203          5.203          5.203          5.203         14.540          4.847          4.847          4.847          4.847         11.002          6.301          3.684          6.979          5.962        139.810
                                Dívida Acumulada             0              0              0              0              0              0              0              0              0              0              0              0              0              0              0          -3.538         -2.084         -3.247         -1.115             0              0
Transferência Resam - Vencimento                             0        220.820        144.144        144.385        145.289        514.125        148.447        148.459        147.375        148.808      1.742.697        162.123        162.184        162.960        162.084      1.938.887        181.202        181.329        181.440        181.146      6.817.905
                                       Pagamento             0        220.820        144.144        144.385        145.289        514.125        148.447        148.459        147.375        148.808      1.742.697        162.123        162.184        162.960        162.084      1.935.751        106.421        137.756        261.200        222.875      6.817.903
                                Dívida Acumulada             0              0              0              0              0              0              0              0              0              0              0              0              0              0              0          -3.135        -77.916      -121.489         -41.729             0              0
Spurbanos - Vencimento                                       0              0              0              0              0              0              0              0              0              0              0      3.003.232              0              0              0              0              0              0              0              0      3.003.232
                                       Pagamento             0              0              0              0              0              0              0              0              0              0              0      3.003.232              0              0              0              0              0              0              0              0      3.003.232
                                Dívida Acumulada             0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0
Comercialização - CEF                                        0         59.286         84.858        129.918         88.593         66.117         63.451         47.417         41.458         57.981         47.911         44.388         40.332         57.696         52.170         43.466         39.111         44.483         89.535         52.625      1.150.794
Comercialização-Rede Compl. - Vencimento                     0              0              0              0              0              0        111.671              0              0              0        243.077              0              0              0              0              0        100.107         43.046              0              0        497.901
                                       Pagamento             0              0              0              0              0              0        111.671              0              0              0        243.077              0              0              0              0              0         57.061         43.046              0              0        454.855
                                Dívida Acumulada             0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0         -43.046             0              0              0              0
Gerenciamento Créditos Eletrônicos/Paese                     0              0          1.357              0              0              0      1.792.161              0              0              0              0              0             70              0              0              0              0              0              0              0      1.793.588
Energia de Tração                                            0          2.731         76.653         56.879         48.758         24.024              0         10.091              0         36.789              0              0              0              0              0         25.658              0         52.596        132.739              0        466.917
Desp. Gerais - Diversas                                      0      1.826.667          1.210              0          8.230              0         72.440              0              0         10.888              0              0             72              0          1.100          7.593              0              0              0              0      1.928.201
Desp. Gerais - Penhora / Bloqueio Judicial                   0         -35.700             0       -194.054              0         33.000        661.075         -33.000        92.960        346.381         -29.500             0              0              0              0         -92.960             0              0         50.000              0        798.202

